brick_ID,array,genotype,brick_colour,side,date_1,photo_ID_1,condition_1,area_(cm2)_1,date,photo_ID,condition_2,area_(cm2),days_between_set1_set2,growth_between_set1_set2_area_(cm2),growth_per_day_(cm2),Notes
M2B2B,B,2,2,TOP,10.19.17,DSCF2693,alive,1.794,06.26.18,DSCF8357,alive,7.59,250,5.796,0.023184,
M2B2C,C,2,2,N,10.19.17,DSCF2727,alive,2.05,06.26.18,DSCF4577,alive,3.603,250,1.553,0.006212,
M2B2C,C,2,2,E,10.19.17,DSCF2728,alive,1.852,06.26.18,DSCF4578,alive,3.883,250,2.031,0.008124,
M2B2C,C,2,2,TOP,10.19.17,DSCF2726,alive,1.859,06.26.18,DSCF4576,alive,4.148,250,2.289,0.009156,
M2B2C,C,2,2,S,10.19.17,DSCF2729,alive,1.047,06.26.18,DSCF4579,dead,NA,250,NA,NA,
M2B2C,C,2,2,W,10.19.17,DSCF2731,alive,0.837,06.26.18,DSCF4580,dead,NA,250,NA,NA,
M2B2D,D,2,2,W,10.19.17,DSCF2745,alive,0.629,06.26.18,DSCF4535,alive,0.769,250,0.14,0.00056,"Ingrid checked both-look ok, Jun '18 had die-off"
M2B2D,D,2,2,N,10.19.17,DSCF2742,alive,1.787,06.26.18,DSCF4532,alive,5.714,250,3.927,0.015708,
M2B2D,D,2,2,E,10.19.17,DSCF2743,alive,1.305,06.26.18,DSCF4533,alive,5.449,250,4.144,0.016576,
M2B2D,D,2,2,TOP,10.19.17,DSCF2740,alive,2.18,06.26.18,DSCF4531,alive,8.766,250,6.586,0.026344,
M2B2D,D,2,2,S,10.19.17,DSCF2744,alive,0.716,06.26.18,DSCF4534,dead,NA,250,NA,NA,
M2B3A,A,2,3,E,10.19.17,DSCF2708,alive,0.919,06.26.18,DSCF8254,alive,4.475,250,3.556,0.014224,
M2B3A,A,2,3,S,10.19.17,DSCF2709,alive,1.483,06.26.18,DSCF8255,alive,5.1,250,3.617,0.014468,
M2B3A,A,2,3,W,10.19.17,DSCF2710,alive,2.710,06.26.18,DSCF8256,alive,9.104,250,6.394,0.025576,
M2B3A,A,2,3,TOP,10.19.17,DSCF2706,alive,2.355,06.26.18,DSCF8252,alive,9.995,250,7.64,0.03056,
M2B3A,A,2,3,N,10.19.17,DSCF2707,alive,2.491,06.26.18,DSCF8253,alive,11.615,250,9.124,0.036496,
M2B3B,B,2,3,N,10.19.17,DSCF2682,alive,1.262,06.26.18,DSCF8313,alive,3.089,250,1.827,0.007308,
M2B3B,B,2,3,S,10.19.17,DSCF2684,alive,2.098,06.26.18,DSCF8315,alive,7.059,250,4.961,0.019844,
M2B3B,B,2,3,TOP,10.19.17,DSCF2681,alive,1.488,06.26.18,DSCF8312,alive,6.546,250,5.058,0.020232,
M2B3B,B,2,3,E,10.19.17,DSCF2683,alive,1.927,06.26.18,DSCF8314,alive,10.189,250,8.262,0.033048,
M2B3B,B,2,3,W,10.19.17,DSCF2685,alive,2.358,06.26.18,DSCF8316,alive,11.691,250,9.333,0.037332,
